senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Sherrod Brown,SenSherrodBrown,SherrodBrown,27,4,14.81,2,7.41,2.0,"[""https://twitter.com/SenSherrodBrown/status/875471571795800068"", ""https://twitter.com/SenSherrodBrown/status/875425340449071105"", ""https://twitter.com/SenSherrodBrown/status/875365733785624576"", ""https://twitter.com/SenSherrodBrown/status/873253266343297024""]","[""https://twitter.com/SenSherrodBrown/status/875124293834821632"", ""https://twitter.com/SenSherrodBrown/status/874710437388070916""]"
Tammy Baldwin,SenatorBaldwin,tammybaldwin,55,18,32.73,0,0.0,0.0,"[""https://twitter.com/SenatorBaldwin/status/875801577700950018"", ""https://twitter.com/SenatorBaldwin/status/875440148137345025"", ""https://twitter.com/SenatorBaldwin/status/875399400209756160"", ""https://twitter.com/SenatorBaldwin/status/875383150683209729"", ""https://twitter.com/SenatorBaldwin/status/875372226706591744"", ""https://twitter.com/SenatorBaldwin/status/874759558165651457"", ""https://twitter.com/SenatorBaldwin/status/874703598579572736"", ""https://twitter.com/SenatorBaldwin/status/874660849360752640"", ""https://twitter.com/SenatorBaldwin/status/874660497488064513"", ""https://twitter.com/SenatorBaldwin/status/874655050936791040"", ""https://twitter.com/SenatorBaldwin/status/874641043895062529"", ""https://twitter.com/SenatorBaldwin/status/874018155307438080"", ""https://twitter.com/SenatorBaldwin/status/873572216650203136"", ""https://twitter.com/SenatorBaldwin/status/873284317153181696"", ""https://twitter.com/SenatorBaldwin/status/873195860473126912"", ""https://twitter.com/tammybaldwin/status/875481395849723906"", ""https://twitter.com/tammybaldwin/status/874689491683954688"", ""https://twitter.com/tammybaldwin/status/874338090218926084""]",[]
Michael F. Bennet,SenBennetCO,BennetForCO,21,5,23.81,1,4.76,5.0,"[""https://twitter.com/SenBennetCO/status/875747363020836865"", ""https://twitter.com/SenBennetCO/status/875455830719479808"", ""https://twitter.com/SenBennetCO/status/874778431765921792"", ""https://twitter.com/SenBennetCO/status/874700013863141376"", ""https://twitter.com/SenBennetCO/status/874697611403571200""]","[""https://twitter.com/SenBennetCO/status/875756411212398592""]"
Richard Blumenthal,SenBlumenthal,"",27,1,3.7,8,29.63,0.125,"[""https://twitter.com/SenBlumenthal/status/875767294097596417""]","[""https://twitter.com/SenBlumenthal/status/874722748685332480"", ""https://twitter.com/SenBlumenthal/status/874716381236875264"", ""https://twitter.com/SenBlumenthal/status/874628200239841281"", ""https://twitter.com/SenBlumenthal/status/874260851607392257"", ""https://twitter.com/SenBlumenthal/status/873301620167200769"", ""https://twitter.com/SenBlumenthal/status/873256821770866688"", ""https://twitter.com/SenBlumenthal/status/872994317148848128"", ""https://twitter.com/SenBlumenthal/status/872971313522126848""]"
Cory A. Booker,SenBookerOffice,CoryBooker,111,10,9.01,9,8.11,1.1111,"[""https://twitter.com/SenBookerOffice/status/875463755102121984"", ""https://twitter.com/SenBookerOffice/status/875434114828185601"", ""https://twitter.com/SenBookerOffice/status/875418592510136320"", ""https://twitter.com/CoryBooker/status/875407562153349141"", ""https://twitter.com/CoryBooker/status/874912433428627457"", ""https://twitter.com/CoryBooker/status/874908333974720513"", ""https://twitter.com/CoryBooker/status/874725838851366912"", ""https://twitter.com/CoryBooker/status/873970504163577857"", ""https://twitter.com/CoryBooker/status/873964192839200768"", ""https://twitter.com/CoryBooker/status/873238448479629312""]","[""https://twitter.com/SenBookerOffice/status/875719306662862848"", ""https://twitter.com/SenBookerOffice/status/874952078996770816"", ""https://twitter.com/CoryBooker/status/874911864056139780"", ""https://twitter.com/CoryBooker/status/874910341364318215"", ""https://twitter.com/CoryBooker/status/874909068871303168"", ""https://twitter.com/CoryBooker/status/874907948736278528"", ""https://twitter.com/CoryBooker/status/874769129923907584"", ""https://twitter.com/CoryBooker/status/874727016368615424"", ""https://twitter.com/CoryBooker/status/874723391814717445""]"
Maria Cantwell,SenatorCantwell,"",46,21,45.65,0,0.0,0.0,"[""https://twitter.com/SenatorCantwell/status/875450341734498304"", ""https://twitter.com/SenatorCantwell/status/875442794537656322"", ""https://twitter.com/SenatorCantwell/status/875424925661761536"", ""https://twitter.com/SenatorCantwell/status/875402527130439681"", ""https://twitter.com/SenatorCantwell/status/875396737715679232"", ""https://twitter.com/SenatorCantwell/status/875375349290475521"", ""https://twitter.com/SenatorCantwell/status/875163952165961728"", ""https://twitter.com/SenatorCantwell/status/875133503804813313"", ""https://twitter.com/SenatorCantwell/status/875113221438545920"", ""https://twitter.com/SenatorCantwell/status/875069078456512513"", ""https://twitter.com/SenatorCantwell/status/875063951549235201"", ""https://twitter.com/SenatorCantwell/status/874767842452885504"", ""https://twitter.com/SenatorCantwell/status/874736891681271810"", ""https://twitter.com/SenatorCantwell/status/874732380698836992"", ""https://twitter.com/SenatorCantwell/status/874726330448973826"", ""https://twitter.com/SenatorCantwell/status/874722548793167872"", ""https://twitter.com/SenatorCantwell/status/874706941255196673"", ""https://twitter.com/SenatorCantwell/status/874691843455238144"", ""https://twitter.com/SenatorCantwell/status/874691337978761216"", ""https://twitter.com/SenatorCantwell/status/874686922379210752"", ""https://twitter.com/SenatorCantwell/status/874685299254624256""]",[]
Benjamin L. Cardin,SenatorCardin,BenCardinforMD,44,17,38.64,4,9.09,4.25,"[""https://twitter.com/SenatorCardin/status/875737192924155904"", ""https://twitter.com/SenatorCardin/status/875531041582329857"", ""https://twitter.com/SenatorCardin/status/875436145487872000"", ""https://twitter.com/SenatorCardin/status/875434334378971137"", ""https://twitter.com/SenatorCardin/status/875432665184432129"", ""https://twitter.com/SenatorCardin/status/875426142282493952"", ""https://twitter.com/SenatorCardin/status/875424550120542209"", ""https://twitter.com/SenatorCardin/status/875422854506045440"", ""https://twitter.com/SenatorCardin/status/875418958576353281"", ""https://twitter.com/SenatorCardin/status/874697901963915265"", ""https://twitter.com/SenatorCardin/status/874697361632751616"", ""https://twitter.com/SenatorCardin/status/873574228569853954"", ""https://twitter.com/SenatorCardin/status/873573471812374528"", ""https://twitter.com/SenatorCardin/status/873572465728823297"", ""https://twitter.com/SenatorCardin/status/873571008652955648"", ""https://twitter.com/SenatorCardin/status/873567652786163712"", ""https://twitter.com/SenatorCardin/status/873567606523015168""]","[""https://twitter.com/SenatorCardin/status/875094838663938049"", ""https://twitter.com/SenatorCardin/status/875091440333987841"", ""https://twitter.com/SenatorCardin/status/874754823492685825"", ""https://twitter.com/SenatorCardin/status/874322312778182657""]"
Thomas R. Carper,SenatorCarper,TomCarperforDE,18,2,11.11,0,0.0,0.0,"[""https://twitter.com/SenatorCarper/status/874618432691548160"", ""https://twitter.com/SenatorCarper/status/874341512120807424""]",[]
"Robert P. Casey, Jr.",SenBobCasey,Bob_Casey,62,32,51.61,1,1.61,32.0,"[""https://twitter.com/SenBobCasey/status/875799715610333185"", ""https://twitter.com/SenBobCasey/status/875744800577859591"", ""https://twitter.com/SenBobCasey/status/875732827773521920"", ""https://twitter.com/SenBobCasey/status/875457567509536769"", ""https://twitter.com/SenBobCasey/status/875402070379171841"", ""https://twitter.com/SenBobCasey/status/875395298582986752"", ""https://twitter.com/SenBobCasey/status/875387941815812096"", ""https://twitter.com/SenBobCasey/status/875366397878161408"", ""https://twitter.com/SenBobCasey/status/875363141236011008"", ""https://twitter.com/SenBobCasey/status/875343503785684992"", ""https://twitter.com/SenBobCasey/status/875090639943331846"", ""https://twitter.com/SenBobCasey/status/875084991352496128"", ""https://twitter.com/SenBobCasey/status/875074568515452929"", ""https://twitter.com/SenBobCasey/status/875060748841517057"", ""https://twitter.com/SenBobCasey/status/874711069469667329"", ""https://twitter.com/SenBobCasey/status/874663249605779463"", ""https://twitter.com/SenBobCasey/status/874639095837978624"", ""https://twitter.com/SenBobCasey/status/874413000509329408"", ""https://twitter.com/SenBobCasey/status/874412723647512576"", ""https://twitter.com/SenBobCasey/status/874308022427897856"", ""https://twitter.com/SenBobCasey/status/874307494822195204"", ""https://twitter.com/SenBobCasey/status/873200857503977473"", ""https://twitter.com/SenBobCasey/status/873199112749035521"", ""https://twitter.com/SenBobCasey/status/873192344996245505"", ""https://twitter.com/SenBobCasey/status/873191966770692097"", ""https://twitter.com/SenBobCasey/status/873190817862692864"", ""https://twitter.com/SenBobCasey/status/873190613432360960"", ""https://twitter.com/SenBobCasey/status/873189421939654656"", ""https://twitter.com/SenBobCasey/status/873189061594423296"", ""https://twitter.com/SenBobCasey/status/873183405923594240"", ""https://twitter.com/SenBobCasey/status/873182779491725314"", ""https://twitter.com/SenBobCasey/status/873182748973817856""]","[""https://twitter.com/SenBobCasey/status/875095670537023488""]"
Christopher A. Coons,SenCoonsOffice,"",0,0,0.0,0,0.0,0.0,[],[]
